Дата замера	дата замера	Ртр МПа	Туст °С	газ м3/сут	конд-т м3/сут	вода м3/сут	ID	Куст	Группа
2019-05-12	2015-05-12	15.5	NULL	771912	NULL	NULL	110	К-А	Кувачи-Алат
2019-05-13	2015-05-13	150	73.4	827421	NULL	NULL	110	К-А	Кувачи-Алат
2019-05-16	2015-05-16	16.7	71	443574	NULL	NULL	110	К-А	Кувачи-Алат
2019-05-20	2015-05-20	17.9	66	304479	NULL	NULL	110	К-А	Кувачи-Алат
2019-05-26	2015-05-26	17.5	70	361939	2.72	2.44	110	К-А	Кувачи-Алат
2019-06-07	2015-06-07	176	70	349748	3.6	1.49	110	К-А	Кувачи-Алат
2019-06-14	2015-06-14	17.3	69	310185	3.26	1.43	110	К-А	Кувачи-Алат
2019-06-20	2015-06-20	17.5	69	265176	2.97	0.25	110	К-А	Кувачи-Алат
2019-06-26	2015-06-26	17.4	68	263621	3	1.8	110	К-А	Кувачи-Алат
2019-07-02	2015-07-02	16	73	446708	3.49	1.87	110	К-А	Кувачи-Алат
2019-07-08	2015-07-08	15.7	73	438621	3.41	1.84	110	К-А	Кувачи-Алат
2019-07-22	2015-07-22	15.9	72	372252	3.05	1.6	110	К-А	Кувачи-Алат
2019-07-23	2015-07-23	158	72	383.3	3.1	1.63	110	К-А	Кувачи-Алат
2019-08-01	2015-08-01	14.8	73	499651	3.15	2	110	К-А	Кувачи-Алат
2019-08-02	2015-08-02	14.7	73	483540	3.08	1.94	110	К-А	Кувачи-Алат
2019-08-12	2015-08-12	15	73	410776	4.41	1.32	110	К-А	Кувачи-Алат
2019-08-13	2015-08-13	14.9	73	417254	2.93	1.73	110	К-А	Кувачи-Алат
2019-08-19	2015-08-19	15.4	72	332592	2.59	1.37	110	К-А	Кувачи-Алат
2019-08-24	2015-08-24	16.2	64	283151	1.92	0	110	К-А	Кувачи-Алат
2019-09-14	2015-09-14	15.7	68	273165	0	0	110	К-А	Кувачи-Алат
2019-09-23	2015-09-23	15.6	68	273696	1.4	1.8	110	К-А	Кувачи-Алат
2019-10-05	2015-10-05	14.5	72	394475	2.54	0.6	110	К-А	Кувачи-Алат
2019-10-12	2015-10-12	15.7	66	227071	0.18	0.75	110	К-А	Кувачи-Алат
2019-10-24	2015-10-24	13.3	73.5	480054	3.52	1.8	110	К-А	Кувачи-Алат
2019-11-03	2015-11-03	13.7	72	419383	4.4	0	110	К-А	Кувачи-Алат
2019-11-14	2015-11-14	13.6	71	372155	4.16	0	110	К-А	Кувачи-Алат
2019-11-25	2015-11-25	13.1	72	417244	3.67	1.07	110	К-А	Кувачи-Алат
2019-12-09	2015-12-09	12.9	72	400499	2.11	1.56	110	К-А	Кувачи-Алат
2019-12-19	2015-12-19	13.2	71	364000	1.72	1.94	110	К-А	Кувачи-Алат
2020-01-03	2016-01-03	13.2	71	334270	2.27	1.98	110	К-А	Кувачи-Алат
2020-01-17	2016-01-17	13.3	69	309166	3.6	1.64	110	К-А	Кувачи-Алат
2020-01-30	2016-01-30	13.1	69	304723	0.12	3.32	110	К-А	Кувачи-Алат
2020-02-05	2016-02-05	13	70	312793	1.59	1.34	110	К-А	Кувачи-Алат
2020-02-26	2016-02-26	12.7	70	322275.1	1.59	1.33	110	К-А	Кувачи-Алат
2020-03-11	2016-03-11	12.3	71	330518	1.66	1.86	110	К-А	Кувачи-Алат
2020-04-02	2016-04-02	12.3	70	297920	0.61	0.4	110	К-А	Кувачи-Алат
2020-04-15	2016-04-15	12.5	69	265277.6	1.26	1.53	110	К-А	Кувачи-Алат
2020-04-25	2016-04-25	12.3	70	281736	1.55	1.82	110	К-А	Кувачи-Алат
2020-05-09	2016-05-09	12.2	68	265400	1.2	1.6	110	К-А	Кувачи-Алат
2020-05-17	2016-05-17	12.4	67	230573	0.49	0.44	110	К-А	Кувачи-Алат
2020-05-31	2016-05-31	12.6	65	185650	0.3	0.3	110	К-А	Кувачи-Алат
2020-06-10	2016-06-10	11.9	69	267072.7	1.16	1.49	110	К-А	Кувачи-Алат
2020-06-19	2016-06-19	12.1	67	236304.5	1.23	1.03	110	К-А	Кувачи-Алат
2020-07-01	2016-07-01	12.3	65	236100	0	1.1	110	К-А	Кувачи-Алат
2020-07-11	2016-07-11	12	67	233352	1.69	0.56	110	К-А	Кувачи-Алат
2020-08-03	2016-08-03	12.1	65.2	194060	0.46	0.87	110	К-А	Кувачи-Алат
2020-08-20	2016-08-20	12	64	202000	0	0	110	К-А	Кувачи-Алат
2020-09-08	2016-09-08	11.4	67	218435	1.47	0.31	110	К-А	Кувачи-Алат
2020-09-10	2016-09-10	11.6	66	213004	1.34	0.02	110	К-А	Кувачи-Алат
2020-09-24	2016-09-24	11.6	65	193132	0.4	1	110	К-А	Кувачи-Алат
2020-10-10	2016-10-10	7.4	72	479178	3.1	0.02	110	К-А	Кувачи-Алат
2020-10-19	2016-10-19	7.5	72	445800	0.6	2.4	110	К-А	Кувачи-Алат
2020-11-04	2016-11-04	8.8	70	349997	2.24	0.21	110	К-А	Кувачи-Алат
2020-11-16	2016-11-16	7.6	71	402878	0.967	1.86	110	К-А	Кувачи-Алат
2020-11-29	2016-11-29	9.4	68	277362.1	0.99	1.3	110	К-А	Кувачи-Алат
2020-12-04	2016-12-04	8.7	70	331845	0.49	2.37	110	К-А	Кувачи-Алат
2020-12-14	2016-12-14	8.5	70	318500	3.2	3	110	К-А	Кувачи-Алат
2020-12-29	2016-12-29	7.8	70	340.1	0.908	0.067	110	К-А	Кувачи-Алат
2021-01-02	2017-01-02	9.2	67	225146	1.01	1.07	110	К-А	Кувачи-Алат
2021-01-13	2017-01-13	9	67	242600	1.1	1.1	110	К-А	Кувачи-Алат
